ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3175021007;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATI;2657;0;166;1;2490;17;0;0;0;17;52;0;5;47;4020;0;125;3895;94;0;0;94;1432;19;1365;26;22;
3174041002;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;3787;1;108;2;3676;14;2;0;0;12;31;0;5;26;3746;0;101;3645;84;0;0;84;1813;13;1730;35;35;
3173071004;DKI JAKARTA;JAKARTA BARAT;PALMERAH;JATI PULO;2441;0;83;4;2354;8;0;0;0;8;31;0;4;27;2688;0;64;2624;67;0;0;67;1013;19;925;29;40;
3175061001;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;JATINEGARA;3806;2;170;3;3631;36;7;0;1;28;20;0;1;19;5561;0;113;5448;67;0;0;67;2349;29;2243;41;36;
3175021004;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATINEGARA KAUM;1290;0;60;0;1230;7;1;0;1;5;12;0;1;11;1977;0;61;1916;20;0;0;20;864;9;823;21;11;
3173021004;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR;2592;0;89;5;2498;15;0;0;0;15;73;0;5;68;4178;0;85;4093;32;0;0;32;1596;33;1508;27;28;
3173021006;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR BARU;2292;0;103;2;2187;11;0;0;0;11;47;0;12;35;3349;0;107;3242;29;0;0;29;1378;27;1299;22;30;
3173041006;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN BESI;1791;0;50;1;1740;3;0;0;0;3;41;0;8;33;1727;0;49;1678;16;0;0;16;763;17;716;15;15;
3173041008;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN LIMA;1357;0;57;0;1300;1;0;0;0;1;41;0;4;37;1341;0;38;1303;8;0;0;8;607;18;562;10;17;
3173081005;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;JOGLO;3067;0;158;4;2905;49;0;0;0;49;26;0;3;23;3126;0;140;2986;17;0;0;17;1713;13;1632;20;48;
3171081001;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;JOHAR BARU;4032;0;145;3;3884;43;2;0;0;41;58;0;2;56;6321;0;161;6160;148;0;0;148;2042;34;1902;45;61;
3173041002;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KALI ANYAR;1499;1;35;0;1463;5;0;0;0;5;55;0;11;44;1380;0;41;1339;14;0;0;14;592;14;549;16;13;
3172041004;DKI JAKARTA;JAKARTA UTARA;CILINCING;KALI BARU;3239;2;76;5;3156;46;0;0;0;46;30;0;3;27;2183;0;101;2082;70;0;0;70;824;17;770;26;11;
3174081002;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;KALIBATA;3238;1;128;3;3106;19;2;0;0;17;111;0;6;105;4750;0;123;4627;22;0;0;22;1959;27;1856;40;36;
3173061001;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KALIDERES;5932;0;216;4;5712;25;1;0;0;24;133;0;20;113;6772;0;134;6638;43;0;0;43;2456;38;2330;44;44;
3175051004;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;KALISARI;4744;1;106;0;4637;62;2;0;0;60;35;0;3;32;3566;0;129;3437;24;0;0;24;2209;20;2105;37;47;
3173061004;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KAMAL;1924;0;69;3;1852;8;0;0;0;8;31;0;0;31;2306;0;52;2254;8;0;0;8;815;21;751;21;22;
3172011002;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAMAL MUARA;1027;0;75;0;952;2;0;0;0;2;499;0;12;487;2472;0;90;2382;2;0;0;2;478;19;447;5;7;
3171071007;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KAMPUNG BALI;943;0;20;2;921;6;0;0;0;6;796;0;0;796;1481;0;16;1465;5;0;0;5;402;5;379;9;9;
3175031001;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;1278;0;37;5;1236;14;2;0;0;12;32;0;1;31;1572;0;47;1525;24;0;0;24;762;9;719;9;25;
3171081002;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;KAMPUNG RAWA;2007;0;73;0;1934;22;0;0;0;22;27;0;3;24;2423;0;57;2366;79;0;0;79;782;20;732;20;10;
3175041002;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;KAMPUNG TENGAH;2633;1;137;1;2494;25;3;0;0;22;25;0;1;24;4462;0;125;4337;65;0;0;65;1719;39;1589;45;46;
3173011005;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KAPUK;5736;2;282;16;5436;11;0;0;0;11;49;0;2;47;6878;0;235;6643;24;0;0;24;3396;126;3062;88;120;
3172011003;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAPUK MUARA;2727;0;228;0;2499;4;0;0;0;4;57;0;6;51;4913;0;194;4719;33;0;0;33;1383;44;1299;19;21;
3171021002;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARANG ANYAR;2368;2;88;5;2273;14;0;0;1;13;209;0;4;205;3548;0;77;3471;19;0;0;19;945;23;882;22;18;
3174021004;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET;1093;0;47;0;1046;6;0;0;0;6;26;0;2;24;1849;0;52;1797;9;0;0;9;596;3;573;10;10;
3174021003;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET KUNINGAN;2395;0;113;1;2281;8;0;0;1;7;2610;0;446;2164;5233;0;231;5002;7;0;0;7;1549;12;1480;25;32;
3174021002;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET SEMANGGI;390;0;14;1;375;0;0;0;0;0;24;0;5;19;819;0;48;771;3;0;0;3;187;6;169;4;8;
3171071003;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KARET TENGSIN;2950;0;266;0;2684;39;2;0;0;37;874;0;217;657;4334;0;210;4124;14;0;0;14;941;10;883;19;29;
3171021003;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARTINI;1854;0;75;1;1778;5;0;0;0;5;117;0;1;116;2773;0;62;2711;23;0;0;23;913;10;869;20;14;
3175011003;DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;KAYU MANIS;2408;0;82;0;2326;38;3;0;1;34;30;0;2;28;3056;0;67;2989;65;0;0;65;1205;12;1162;19;12;
3175021006;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;KAYU PUTIH;4071;0;125;4;3942;23;1;0;1;21;4520;0;273;4247;8851;0;1322;7529;123;0;0;123;1810;46;1696;30;38;
3173031006;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KEAGUNGAN;1355;0;45;0;1310;4;0;0;0;4;14;0;0;14;1384;0;30;1354;15;0;0;15;578;8;561;6;3;
3174041007;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;KEBAGUSAN;4183;0;141;1;4041;22;2;0;0;20;22;0;2;20;3649;0;99;3550;48;0;0;48;1914;13;1833;29;39;
3174051006;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA SELATAN;5058;3;211;0;4844;37;1;0;0;36;21;0;2;19;3220;0;112;3108;22;0;0;22;1894;17;1801;38;38;
